Ortschaftsname;PLZ;Gemeindename;BFS-Nr;Kantonskürzel;Gültig ab
Ringoldswil;3656;Sigriswil;938;BE;01.01.2025
Schwanden (Sigriswil);3657;Sigriswil;938;BE;01.01.2025
Merligen;3658;Sigriswil;938;BE;01.01.2025
Steffisburg;3612;Steffisburg;939;BE;01.01.2025
Steffisburg;3613;Steffisburg;939;BE;01.01.2025
Fahrni b. Thun;3617;Steffisburg;939;BE;01.01.2025
Schwendibach;3624;Steffisburg;939;BE;01.01.2025
Heimberg;3627;Steffisburg;939;BE;01.01.2025
Teuffenthal b. Thun;3623;Teuffenthal (BE);940;BE;01.01.2025
Amsoldingen;3633;Thierachern;941;BE;01.01.2025
Thierachern;3634;Thierachern;941;BE;01.01.2025
Uebeschi;3635;Thierachern;941;BE;01.01.2025
Längenbühl;3636;Thierachern;941;BE;01.01.2025
Thun;3600;Thun;942;BE;01.01.2025
Thun;3603;Thun;942;BE;01.01.2025
Thun;3604;Thun;942;BE;01.01.2025
Thun;3608;Thun;942;BE;01.01.2025
Steffisburg;3612;Thun;942;BE;01.01.2025
Goldiwil (Thun);3624;Thun;942;BE;01.01.2025
Hünibach;3626;Thun;942;BE;01.01.2025
Gwatt (Thun);3645;Thun;942;BE;01.01.2025
Höfen b. Thun;3631;Uebeschi;943;BE;01.01.2025
Uebeschi;3635;Uebeschi;943;BE;01.01.2025
Thun;3603;Uetendorf;944;BE;01.01.2025
Uetendorf;3661;Uetendorf;944;BE;01.01.2025
Unterlangenegg;3614;Unterlangenegg;945;BE;01.01.2025
Schwarzenegg;3616;Unterlangenegg;945;BE;01.01.2025
Süderen;3618;Wachseldorn;946;BE;01.01.2025
Längenbühl;3636;Forst-Längenbühl;948;BE;01.01.2025
Forst b. Längenbühl;3636;Forst-Längenbühl;948;BE;01.01.2025
Gurzelen;3663;Forst-Längenbühl;948;BE;01.01.2025
Wattenwil;3665;Forst-Längenbühl;948;BE;01.01.2025
Kaltacker;3413;Affoltern im Emmental;951;BE;01.01.2025
Affoltern im Emmental;3416;Affoltern im Emmental;951;BE;01.01.2025
Rüegsbach;3418;Affoltern im Emmental;951;BE;01.01.2025
Weier im Emmental;3462;Affoltern im Emmental;951;BE;01.01.2025
Häusernmoos im Emmental;3463;Affoltern im Emmental;951;BE;01.01.2025
Schmidigen-Mühleweg;3464;Affoltern im Emmental;951;BE;01.01.2025
Häusernmoos im Emmental;3463;Dürrenroth;952;BE;01.01.2025
Schmidigen-Mühleweg;3464;Dürrenroth;952;BE;01.01.2025
Dürrenroth;3465;Dürrenroth;952;BE;01.01.2025
Walterswil BE;4942;Dürrenroth;952;BE;01.01.2025
Huttwil;4950;Eriswil;953;BE;01.01.2025
Eriswil;4952;Eriswil;953;BE;01.01.2025
Rohrbachgraben;4938;Huttwil;954;BE;01.01.2025
Huttwil;4950;Huttwil;954;BE;01.01.2025
Eriswil;4952;Huttwil;954;BE;01.01.2025
Schwarzenbach (Huttwil);4953;Huttwil;954;BE;01.01.2025
Oberburg;3414;Lützelflüh;955;BE;01.01.2025
Rüegsauschachen;3415;Lützelflüh;955;BE;01.01.2025
Rüegsbach;3418;Lützelflüh;955;BE;01.01.2025
Biembach im Emmental;3419;Lützelflüh;955;BE;01.01.2025
Lützelflüh-Goldbach;3432;Lützelflüh;955;BE;01.01.2025
Schwanden im Emmental;3433;Lützelflüh;955;BE;01.01.2025
Obergoldbach;3434;Lützelflüh;955;BE;01.01.2025
Ramsei;3435;Lützelflüh;955;BE;01.01.2025
Ranflüh;3439;Lützelflüh;955;BE;01.01.2025
Grünenmatt;3452;Lützelflüh;955;BE;01.01.2025
Heimisbach;3453;Lützelflüh;955;BE;01.01.2025
Sumiswald;3454;Lützelflüh;955;BE;01.01.2025
Trachselwald;3456;Lützelflüh;955;BE;01.01.2025
Rüegsauschachen;3415;Rüegsau;956;BE;01.01.2025
Affoltern im Emmental;3416;Rüegsau;956;BE;01.01.2025
Rüegsau;3417;Rüegsau;956;BE;01.01.2025
Rüegsbach;3418;Rüegsau;956;BE;01.01.2025
Sumiswald;3454;Rüegsau;956;BE;01.01.2025
Affoltern im Emmental;3416;Sumiswald;957;BE;01.01.2025
Sumiswald;3454;Sumiswald;957;BE;01.01.2025
Grünen;3455;Sumiswald;957;BE;01.01.2025
Wasen im Emmental;3457;Sumiswald;957;BE;01.01.2025
Weier im Emmental;3462;Sumiswald;957;BE;01.01.2025
Eriswil;4952;Sumiswald;957;BE;01.01.2025
Wyssachen;4954;Sumiswald;957;BE;01.01.2025
Heimisbach;3453;Trachselwald;958;BE;01.01.2025
Trachselwald;3456;Trachselwald;958;BE;01.01.2025
Oberfrittenbach;3551;Trachselwald;958;BE;01.01.2025
Häusernmoos im Emmental;3463;Walterswil (BE);959;BE;01.01.2025
Schmidigen-Mühleweg;3464;Walterswil (BE);959;BE;01.01.2025
Rohrbachgraben;4938;Walterswil (BE);959;BE;01.01.2025
Walterswil BE;4942;Walterswil (BE);959;BE;01.01.2025
Oeschenbach;4943;Walterswil (BE);959;BE;01.01.2025
Wasen im Emmental;3457;Wyssachen;960;BE;01.01.2025
Schwarzenbach (Huttwil);4953;Wyssachen;960;BE;01.01.2025
Wyssachen;4954;Wyssachen;960;BE;01.01.2025
Attiswil;4536;Attiswil;971;BE;01.01.2025
Berken;3376;Berken;972;BE;01.01.2025
Bettenhausen;3366;Bettenhausen;973;BE;01.01.2025
Bollodingen;3366;Bettenhausen;973;BE;01.01.2025
Farnern;4539;Farnern;975;BE;01.01.2025
Graben;3376;Graben;976;BE;01.01.2025
Wanzwil;3372;Heimenhausen;977;BE;01.01.2025
Röthenbach Herzogenbuchsee;3373;Heimenhausen;977;BE;01.01.2025
Heimenhausen;3373;Heimenhausen;977;BE;01.01.2025
Herzogenbuchsee;3360;Herzogenbuchsee;979;BE;01.01.2025
Oberönz;3363;Herzogenbuchsee;979;BE;01.01.2025
Inkwil;3375;Inkwil;980;BE;01.01.2025
Niederbipp;4704;Niederbipp;981;BE;01.01.2025
Wolfisberg;4704;Niederbipp;981;BE;01.01.2025
Niederönz;3362;Niederönz;982;BE;01.01.2025
Burgäschi;4556;Niederönz;982;BE;01.01.2025
Oberbipp;4538;Oberbipp;983;BE;01.01.2025
Ochlenberg;3367;Ochlenberg;985;BE;01.01.2025
Oschwand;3476;Ochlenberg;985;BE;01.01.2025
Rumisberg;4539;Rumisberg;987;BE;01.01.2025
Farnern;4539;Rumisberg;987;BE;01.01.2025
Grasswil;3365;Seeberg;988;BE;01.01.2025
Seeberg;3365;Seeberg;988;BE;01.01.2025
Rüedisbach;3474;Seeberg;988;BE;01.01.2025
Riedtwil;3475;Seeberg;988;BE;01.01.2025
Hermiswil;3475;Seeberg;988;BE;01.01.2025
Oschwand;3476;Seeberg;988;BE;01.01.2025
Oeschenbach;4943;Seeberg;988;BE;01.01.2025
Herzogenbuchsee;3360;Thörigen;989;BE;01.01.2025
Thörigen;3367;Thörigen;989;BE;01.01.2025
Oschwand;3476;Thörigen;989;BE;01.01.2025
Walliswil b. Niederbipp;3380;Walliswil bei Niederbipp;990;BE;01.01.2025
Walliswil b. Wangen;3377;Walliswil bei Wangen;991;BE;01.01.2025
Wangenried;3374;Wangen an der Aare;992;BE;01.01.2025
Wangen an der Aare;3380;Wangen an der Aare;992;BE;01.01.2025
Attiswil;4536;Wangen an der Aare;992;BE;01.01.2025
Wangen an der Aare;3380;Wiedlisbach;995;BE;01.01.2025
Wiedlisbach;4537;Wiedlisbach;995;BE;01.01.2025
Rumisberg;4539;Wiedlisbach;995;BE;01.01.2025
Wolhusen;6110;Doppleschwand;1001;LU;01.01.2025
Doppleschwand;6112;Doppleschwand;1001;LU;01.01.2025
Schachen LU;6105;Entlebuch;1002;LU;01.01.2025
Wolhusen;6110;Entlebuch;1002;LU;01.01.2025
Entlebuch;6162;Entlebuch;1002;LU;01.01.2025
Rengg;6162;Entlebuch;1002;LU;01.01.2025
Finsterwald b. Entlebuch;6162;Entlebuch;1002;LU;01.01.2025
Ebnet;6163;Entlebuch;1002;LU;01.01.2025
Hasle LU;6166;Entlebuch;1002;LU;01.01.2025
Schüpfheim;6170;Entlebuch;1002;LU;01.01.2025
Schüpfheim;6170;Flühli;1004;LU;01.01.2025
Flühli LU;6173;Flühli;1004;LU;01.01.2025
Sörenberg;6174;Flühli;1004;LU;01.01.2025
Wiggen;6192;Flühli;1004;LU;01.01.2025
Schangnau;6197;Flühli;1004;LU;01.01.2025
Entlebuch;6162;Hasle (LU);1005;LU;01.01.2025
Finsterwald b. Entlebuch;6162;Hasle (LU);1005;LU;01.01.2025
Hasle LU;6166;Hasle (LU);1005;LU;01.01.2025
Schüpfheim;6170;Hasle (LU);1005;LU;01.01.2025
Fontannen b. Wolhusen;6110;Romoos;1007;LU;01.01.2025
Romoos;6113;Romoos;1007;LU;01.01.2025
Hasle LU;6166;Romoos;1007;LU;01.01.2025
Bramboden;6167;Romoos;1007;LU;01.01.2025
Schüpfheim;6170;Romoos;1007;LU;01.01.2025
Schüpfheim;6170;Schüpfheim;1008;LU;01.01.2025
Schachen LU;6105;Werthenstein;1009;LU;01.01.2025
Werthenstein;6106;Werthenstein;1009;LU;01.01.2025
Wolhusen;6110;Werthenstein;1009;LU;01.01.2025
Trubschachen;3555;Escholzmatt-Marbach;1010;LU;01.01.2025
Schüpfheim;6170;Escholzmatt-Marbach;1010;LU;01.01.2025
Flühli LU;6173;Escholzmatt-Marbach;1010;LU;01.01.2025
Escholzmatt;6182;Escholzmatt-Marbach;1010;LU;01.01.2025
Wiggen;6192;Escholzmatt-Marbach;1010;LU;01.01.2025
Marbach LU;6196;Escholzmatt-Marbach;1010;LU;01.01.2025
Schangnau;6197;Escholzmatt-Marbach;1010;LU;01.01.2025
Aesch LU;6287;Aesch (LU);1021;LU;01.01.2025
Inwil;6034;Ballwil;1023;LU;01.01.2025
Eschenbach LU;6274;Ballwil;1023;LU;01.01.2025
Ballwil;6275;Ballwil;1023;LU;01.01.2025
Emmenbrücke;6020;Emmen;1024;LU;01.01.2025
Rothenburg;6023;Emmen;1024;LU;01.01.2025
Emmen;6032;Emmen;1024;LU;01.01.2025
Neuenkirch;6206;Emmen;1024;LU;01.01.2025
Ermensee;6294;Ermensee;1025;LU;01.01.2025
Rain;6026;Eschenbach (LU);1026;LU;01.01.2025
Inwil;6034;Eschenbach (LU);1026;LU;01.01.2025
Eschenbach LU;6274;Eschenbach (LU);1026;LU;01.01.2025
Gelfingen;6284;Hitzkirch;1030;LU;01.01.2025
Sulz LU;6284;Hitzkirch;1030;LU;01.01.2025
Hitzkirch;6285;Hitzkirch;1030;LU;01.01.2025
Retschwil;6285;Hitzkirch;1030;LU;01.01.2025
Altwis;6286;Hitzkirch;1030;LU;01.01.2025
Schongau;6288;Hitzkirch;1030;LU;01.01.2025
Müswangen;6289;Hitzkirch;1030;LU;01.01.2025
Hämikon;6289;Hitzkirch;1030;LU;01.01.2025
Hämikon;6289;Hitzkirch;1030;LU;01.01.2025
Mosen;6295;Hitzkirch;1030;LU;01.01.2025
Eschenbach LU;6274;Hochdorf;1031;LU;01.01.2025
Ballwil;6275;Hochdorf;1031;LU;01.01.2025
Hochdorf;6280;Hochdorf;1031;LU;01.01.2025
Urswil;6280;Hochdorf;1031;LU;01.01.2025
Baldegg;6283;Hochdorf;1031;LU;01.01.2025
Ballwil;6275;Hohenrain;1032;LU;01.01.2025
Hohenrain;6276;Hohenrain;1032;LU;01.01.2025
Kleinwangen;6277;Hohenrain;1032;LU;01.01.2025
Lieli LU;6277;Hohenrain;1032;LU;01.01.2025
Hochdorf;6280;Hohenrain;1032;LU;01.01.2025
Baldegg;6283;Hohenrain;1032;LU;01.01.2025
Inwil;6034;Inwil;1033;LU;01.01.2025
Gisikon;6038;Inwil;1033;LU;01.01.2025
Rain;6026;Rain;1037;LU;01.01.2025
Rain;6026;Römerswil;1039;LU;01.01.2025
Römerswil LU;6027;Römerswil;1039;LU;01.01.2025
Herlisberg;6028;Römerswil;1039;LU;01.01.2025
Hochdorf;6280;Römerswil;1039;LU;01.01.2025
Urswil;6280;Römerswil;1039;LU;01.01.2025
Baldegg;6283;Römerswil;1039;LU;01.01.2025
Rothenburg;6023;Rothenburg;1040;LU;01.01.2025
Rain;6026;Rothenburg;1040;LU;01.01.2025
Neuenkirch;6206;Rothenburg;1040;LU;01.01.2025
Aesch LU;6287;Schongau;1041;LU;01.01.2025
Schongau;6288;Schongau;1041;LU;01.01.2025
Ebikon;6030;Adligenswil;1051;LU;01.01.2025
Adligenswil;6043;Adligenswil;1051;LU;01.01.2025
Ebikon;6030;Buchrain;1052;LU;01.01.2025
Buchrain;6033;Buchrain;1052;LU;01.01.2025
Perlen;6035;Buchrain;1052;LU;01.01.2025
Dierikon;6036;Dierikon;1053;LU;01.01.2025
Root;6037;Dierikon;1053;LU;01.01.2025
Luzern;6004;Ebikon;1054;LU;01.01.2025
Luzern;6006;Ebikon;1054;LU;01.01.2025
Emmenbrücke;6020;Ebikon;1054;LU;01.01.2025
Ebikon;6030;Ebikon;1054;LU;01.01.2025
Emmen;6032;Ebikon;1054;LU;01.01.2025
Gisikon;6038;Gisikon;1055;LU;01.01.2025
Weggis;6353;Greppen;1056;LU;01.01.2025
Greppen;6404;Greppen;1056;LU;01.01.2025
Gisikon;6038;Root;1065;LU;01.01.2025
Honau;6038;Root;1065;LU;01.01.2025
Luzern;6005;Horw;1058;LU;01.01.2025
St. Niklausen LU;6005;Horw;1058;LU;01.01.2025
Kastanienbaum;6047;Horw;1058;LU;01.01.2025
Horw;6048;Horw;1058;LU;01.01.2025
Hergiswil NW;6052;Horw;1058;LU;01.01.2025
Luzern;6005;Kriens;1059;LU;01.01.2025
Kriens;6010;Kriens;1059;LU;01.01.2025
Obernau;6012;Kriens;1059;LU;01.01.2025
Eigenthal;6013;Kriens;1059;LU;01.01.2025
Horw;6048;Kriens;1059;LU;01.01.2025
Luzern;6003;Luzern;1061;LU;01.01.2025
Luzern;6004;Luzern;1061;LU;01.01.2025
Luzern;6005;Luzern;1061;LU;01.01.2025
Luzern;6006;Luzern;1061;LU;01.01.2025
Luzern;6014;Luzern;1061;LU;01.01.2025
Luzern;6015;Luzern;1061;LU;01.01.2025
Hellbühl;6016;Luzern;1061;LU;01.01.2025
Emmenbrücke;6020;Luzern;1061;LU;01.01.2025
Kehrsiten;6365;Luzern;1061;LU;01.01.2025
Luzern;6014;Malters;1062;LU;01.01.2025
Hellbühl;6016;Malters;1062;LU;01.01.2025
Sigigen;6019;Malters;1062;LU;01.01.2025
Malters;6102;Malters;1062;LU;01.01.2025
Luzern;6006;Meggen;1063;LU;01.01.2025
Meggen;6045;Meggen;1063;LU;01.01.2025
Meierskappel;6344;Meierskappel;1064;LU;01.01.2025
Perlen;6035;Root;1065;LU;01.01.2025
Root;6037;Root;1065;LU;01.01.2025
Gisikon;6038;Root;1065;LU;01.01.2025
Root D4;6039;Root;1065;LU;01.01.2025
Udligenswil;6044;Root;1065;LU;01.01.2025
Eigenthal;6013;Schwarzenberg;1066;LU;01.01.2025
Schwarzenberg LU;6103;Schwarzenberg;1066;LU;01.01.2025
Udligenswil;6044;Udligenswil;1067;LU;01.01.2025
Vitznau;6354;Vitznau;1068;LU;01.01.2025
Rigi Kaltbad;6356;Vitznau;1068;LU;01.01.2025
Weggis;6353;Weggis;1069;LU;01.01.2025
Vitznau;6354;Weggis;1069;LU;01.01.2025
Rigi Kaltbad;6356;Weggis;1069;LU;01.01.2025
Neudorf;6025;Beromünster;1081;LU;01.01.2025
Herlisberg;6028;Beromünster;1081;LU;01.01.2025
Beromünster;6215;Beromünster;1081;LU;01.01.2025
Schwarzenbach LU;6215;Beromünster;1081;LU;01.01.2025
Rickenbach LU;6221;Beromünster;1081;LU;01.01.2025
Gunzwil;6222;Beromünster;1081;LU;01.01.2025
Büron;6233;Büron;1082;LU;01.01.2025
Buttisholz;6018;Buttisholz;1083;LU;01.01.2025
Grosswangen;6022;Buttisholz;1083;LU;01.01.2025
Eich;6205;Eich;1084;LU;01.01.2025
Schenkon;6214;Eich;1084;LU;01.01.2025
Geuensee;6232;Geuensee;1085;LU;01.01.2025
Grosswangen;6022;Grosswangen;1086;LU;01.01.2025
Hildisrieden;6024;Hildisrieden;1088;LU;01.01.2025
St. Erhard;6212;Knutwil;1089;LU;01.01.2025
Knutwil;6213;Knutwil;1089;LU;01.01.2025
Sursee;6210;Mauensee;1091;LU;01.01.2025
Kaltbach;6212;Mauensee;1091;LU;01.01.2025
Mauensee;6216;Mauensee;1091;LU;01.01.2025
Wauwil;6242;Mauensee;1091;LU;01.01.2025
Hellbühl;6016;Neuenkirch;1093;LU;01.01.2025
Rothenburg;6023;Neuenkirch;1093;LU;01.01.2025
Hildisrieden;6024;Neuenkirch;1093;LU;01.01.2025
Sempach Station;6203;Neuenkirch;1093;LU;01.01.2025
Sempach;6204;Neuenkirch;1093;LU;01.01.2025
Neuenkirch;6206;Neuenkirch;1093;LU;01.01.2025
Nottwil;6207;Neuenkirch;1093;LU;01.01.2025
Nottwil;6207;Nottwil;1094;LU;01.01.2025
Buttisholz;6018;Oberkirch;1095;LU;01.01.2025
Nottwil;6207;Oberkirch;1095;LU;01.01.2025
Oberkirch LU;6208;Oberkirch;1095;LU;01.01.2025
Sursee;6210;Oberkirch;1095;LU;01.01.2025
Mauensee;6216;Oberkirch;1095;LU;01.01.2025
Pfeffikon LU;5735;Rickenbach (LU);1097;LU;01.01.2025
Rickenbach LU;6221;Rickenbach (LU);1097;LU;01.01.2025
Hellbühl;6016;Ruswil;1098;LU;01.01.2025
Ruswil;6017;Ruswil;1098;LU;01.01.2025
Buttisholz;6018;Ruswil;1098;LU;01.01.2025
Sigigen;6019;Ruswil;1098;LU;01.01.2025
Schachen LU;6105;Ruswil;1098;LU;01.01.2025
Werthenstein;6106;Ruswil;1098;LU;01.01.2025
Wolhusen;6110;Ruswil;1098;LU;01.01.2025
Neuenkirch;6206;Ruswil;1098;LU;01.01.2025
Nottwil;6207;Ruswil;1098;LU;01.01.2025
Sursee;6210;Schenkon;1099;LU;01.01.2025
Schenkon;6214;Schenkon;1099;LU;01.01.2025
Gunzwil;6222;Schenkon;1099;LU;01.01.2025
Schlierbach;6231;Schlierbach;1100;LU;01.01.2025
Hildisrieden;6024;Sempach;1102;LU;01.01.2025
Sempach;6204;Sempach;1102;LU;01.01.2025
Sursee;6210;Sursee;1103;LU;01.01.2025
Knutwil;6213;Triengen;1104;LU;01.01.2025
Triengen;6234;Triengen;1104;LU;01.01.2025
Kulmerau;6234;Triengen;1104;LU;01.01.2025
Winikon;6235;Triengen;1104;LU;01.01.2025
Wilihof;6236;Triengen;1104;LU;01.01.2025
Wolhusen;6110;Wolhusen;1107;LU;01.01.2025
Steinhuserberg;6114;Wolhusen;1107;LU;01.01.2025
Menznau;6122;Wolhusen;1107;LU;01.01.2025
Alberswil;6248;Alberswil;1121;LU;01.01.2025
Altbüron;6147;Altbüron;1122;LU;01.01.2025
Zell LU;6144;Altishofen;1123;LU;01.01.2025
Nebikon;6244;Altishofen;1123;LU;01.01.2025
Ebersecken;6245;Altishofen;1123;LU;01.01.2025
Altishofen;6246;Altishofen;1123;LU;01.01.2025
Schötz;6247;Altishofen;1123;LU;01.01.2025
Richenthal;6263;Altishofen;1123;LU;01.01.2025
Buchs LU;6211;Dagmersellen;1125;LU;01.01.2025
Winikon;6235;Dagmersellen;1125;LU;01.01.2025
Altishofen;6246;Dagmersellen;1125;LU;01.01.2025
Dagmersellen;6252;Dagmersellen;1125;LU;01.01.2025
Uffikon;6253;Dagmersellen;1125;LU;01.01.2025
Reidermoos;6260;Dagmersellen;1125;LU;01.01.2025
Egolzwil;6243;Egolzwil;1127;LU;01.01.2025
Nebikon;6244;Egolzwil;1127;LU;01.01.2025
Grosswangen;6022;Ettiswil;1128;LU;01.01.2025
Kottwil;6217;Ettiswil;1128;LU;01.01.2025
Ettiswil;6218;Ettiswil;1128;LU;01.01.2025
Alberswil;6248;Ettiswil;1128;LU;01.01.2025
Fischbach LU;6145;Fischbach;1129;LU;01.01.2025
Hüswil;6152;Fischbach;1129;LU;01.01.2025
Ufhusen;6153;Fischbach;1129;LU;01.01.2025
Fischbach LU;6145;Grossdietwil;1131;LU;01.01.2025
Grossdietwil;6146;Grossdietwil;1131;LU;01.01.2025
Altbüron;6147;Grossdietwil;1131;LU;01.01.2025
Ebersecken;6245;Grossdietwil;1131;LU;01.01.2025
Menzberg;6125;Hergiswil bei Willisau;1132;LU;01.01.2025
Willisau;6130;Hergiswil bei Willisau;1132;LU;01.01.2025
Rohrmatt;6132;Hergiswil bei Willisau;1132;LU;01.01.2025
Hergiswil b. Willisau;6133;Hergiswil bei Willisau;1132;LU;01.01.2025
Luthern;6156;Hergiswil bei Willisau;1132;LU;01.01.2025
Eriswil;4952;Luthern;1135;LU;01.01.2025
Ufhusen;6153;Luthern;1135;LU;01.01.2025
Hofstatt;6154;Luthern;1135;LU;01.01.2025
Luthern;6156;Luthern;1135;LU;01.01.2025
Luthern Bad;6156;Luthern;1135;LU;01.01.2025
Wolhusen;6110;Menznau;1136;LU;01.01.2025
Menznau;6122;Menznau;1136;LU;01.01.2025
Geiss;6123;Menznau;1136;LU;01.01.2025
Menzberg;6125;Menznau;1136;LU;01.01.2025
Willisau;6130;Menznau;1136;LU;01.01.2025
Nebikon;6244;Nebikon;1137;LU;01.01.2025
St. Urban;4915;Pfaffnau;1139;LU;01.01.2025
Altbüron;6147;Pfaffnau;1139;LU;01.01.2025
Pfaffnau;6264;Pfaffnau;1139;LU;01.01.2025
Roggliswil;6265;Pfaffnau;1139;LU;01.01.2025
Dagmersellen;6252;Reiden;1140;LU;01.01.2025
Reiden;6260;Reiden;1140;LU;01.01.2025
Reidermoos;6260;Reiden;1140;LU;01.01.2025
Hintermoos;6260;Reiden;1140;LU;01.01.2025
Mehlsecken;6260;Reiden;1140;LU;01.01.2025
Langnau b. Reiden;6262;Reiden;1140;LU;01.01.2025
Richenthal;6263;Reiden;1140;LU;01.01.2025
Roggliswil;6265;Roggliswil;1142;LU;01.01.2025
Ohmstal;6143;Schötz;1143;LU;01.01.2025
Schötz;6247;Schötz;1143;LU;01.01.2025
Eriswil;4952;Ufhusen;1145;LU;01.01.2025
Gondiswil;4955;Ufhusen;1145;LU;01.01.2025
Ufhusen;6153;Ufhusen;1145;LU;01.01.2025
Wauwil;6242;Wauwil;1146;LU;01.01.2025
Wikon;4806;Wikon;1147;LU;01.01.2025
Reidermoos;6260;Wikon;1147;LU;01.01.2025
Hintermoos;6260;Wikon;1147;LU;01.01.2025
Zell LU;6144;Zell (LU);1150;LU;01.01.2025
Hüswil;6152;Zell (LU);1150;LU;01.01.2025
Ufhusen;6153;Zell (LU);1150;LU;01.01.2025
Menznau;6122;Willisau;1151;LU;01.01.2025
Menzberg;6125;Willisau;1151;LU;01.01.2025
Daiwil;6126;Willisau;1151;LU;01.01.2025
Willisau;6130;Willisau;1151;LU;01.01.2025
Rohrmatt;6132;Willisau;1151;LU;01.01.2025
Hergiswil b. Willisau;6133;Willisau;1151;LU;01.01.2025
Gettnau;6142;Willisau;1151;LU;01.01.2025
Ohmstal;6143;Willisau;1151;LU;01.01.2025
Zell LU;6144;Willisau;1151;LU;01.01.2025
Hofstatt;6154;Willisau;1151;LU;01.01.2025
Luthern;6156;Willisau;1151;LU;01.01.2025
Alberswil;6248;Willisau;1151;LU;01.01.2025
Altdorf UR;6460;Altdorf (UR);1201;UR;01.01.2025
Andermatt;6490;Andermatt;1202;UR;01.01.2025
Engelberg;6390;Attinghausen;1203;UR;01.01.2025
Attinghausen;6468;Attinghausen;1203;UR;01.01.2025
Muotathal;6436;Bürglen (UR);1205;UR;01.01.2025
Bisisthal;6436;Bürglen (UR);1205;UR;01.01.2025
Altdorf UR;6460;Bürglen (UR);1205;UR;01.01.2025
Bürglen UR;6463;Bürglen (UR);1205;UR;01.01.2025
Spiringen;6464;Bürglen (UR);1205;UR;01.01.2025
Haldi b. Schattdorf;6469;Bürglen (UR);1205;UR;01.01.2025
Erstfeld;6472;Erstfeld;1206;UR;01.01.2025
Flüelen;6454;Flüelen;1207;UR;01.01.2025
Altdorf UR;6460;Flüelen;1207;UR;01.01.2025
Göschenen;6487;Göschenen;1208;UR;01.01.2025
Silenen;6473;Gurtnellen;1209;UR;01.01.2025
Amsteg;6474;Gurtnellen;1209;UR;01.01.2025
Intschi;6476;Gurtnellen;1209;UR;01.01.2025
Gurtnellen;6482;Gurtnellen;1209;UR;01.01.2025
Hospental;6493;Hospental;1210;UR;01.01.2025
Isenthal;6461;Isenthal;1211;UR;01.01.2025
Realp;6491;Realp;1212;UR;01.01.2025
Schattdorf;6467;Schattdorf;1213;UR;01.01.2025
Haldi b. Schattdorf;6469;Schattdorf;1213;UR;01.01.2025
Seedorf UR;6462;Seedorf (UR);1214;UR;01.01.2025
Bauen;6466;Seedorf (UR);1214;UR;01.01.2025
Seelisberg;6377;Seelisberg;1215;UR;01.01.2025
Rütli;6441;Seelisberg;1215;UR;01.01.2025
Erstfeld;6472;Silenen;1216;UR;01.01.2025
Silenen;6473;Silenen;1216;UR;01.01.2025
Amsteg;6474;Silenen;1216;UR;01.01.2025
Bristen;6475;Silenen;1216;UR;01.01.2025
Intschi;6476;Silenen;1216;UR;01.01.2025
Sisikon;6452;Sisikon;1217;UR;01.01.2025
Riemenstalden;6452;Sisikon;1217;UR;01.01.2025
Spiringen;6464;Spiringen;1218;UR;01.01.2025
Urnerboden;8751;Spiringen;1218;UR;01.01.2025
Bisisthal;6436;Unterschächen;1219;UR;01.01.2025
Unterschächen;6465;Unterschächen;1219;UR;01.01.2025
Wassen UR;6484;Wassen;1220;UR;01.01.2025
Meien;6485;Wassen;1220;UR;01.01.2025
Bennau;8836;Einsiedeln;1301;SZ;01.01.2025
Einsiedeln;8840;Einsiedeln;1301;SZ;01.01.2025
Trachslau;8840;Einsiedeln;1301;SZ;01.01.2025
Gross;8841;Einsiedeln;1301;SZ;01.01.2025
Euthal;8844;Einsiedeln;1301;SZ;01.01.2025
Willerzell;8846;Einsiedeln;1301;SZ;01.01.2025
Egg SZ;8847;Einsiedeln;1301;SZ;01.01.2025
Rigi Scheidegg;6410;Gersau;1311;SZ;01.01.2025
Gersau;6442;Gersau;1311;SZ;01.01.2025
Wollerau;8832;Feusisberg;1321;SZ;01.01.2025
Schindellegi;8834;Feusisberg;1321;SZ;01.01.2025
Feusisberg;8835;Feusisberg;1321;SZ;01.01.2025
Bennau;8836;Feusisberg;1321;SZ;01.01.2025
Egg SZ;8847;Feusisberg;1321;SZ;01.01.2025
Hurden;8640;Freienbach;1322;SZ;01.01.2025
Bäch SZ;8806;Freienbach;1322;SZ;01.01.2025
Freienbach;8807;Freienbach;1322;SZ;01.01.2025
Pfäffikon SZ;8808;Freienbach;1322;SZ;01.01.2025
Wollerau;8832;Freienbach;1322;SZ;01.01.2025
Wilen b. Wollerau;8832;Freienbach;1322;SZ;01.01.2025
Bäch SZ;8806;Wollerau;1323;SZ;01.01.2025
Wollerau;8832;Wollerau;1323;SZ;01.01.2025
Samstagern;8833;Wollerau;1323;SZ;01.01.2025
Schindellegi;8834;Wollerau;1323;SZ;01.01.2025
Merlischachen;6402;Küssnacht (SZ);1331;SZ;01.01.2025
Küssnacht am Rigi;6403;Küssnacht (SZ);1331;SZ;01.01.2025
Immensee;6405;Küssnacht (SZ);1331;SZ;01.01.2025
Willerzell;8846;Altendorf;1341;SZ;01.01.2025
Altendorf;8852;Altendorf;1341;SZ;01.01.2025
Lachen SZ;8853;Galgenen;1342;SZ;01.01.2025
Siebnen;8854;Galgenen;1342;SZ;01.01.2025
Galgenen;8854;Galgenen;1342;SZ;01.01.2025
